epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
27,3036.82,1.12919,1.0019,0.07672,0.03147,0.71072,0.703,0.74568,0.54102,1.14237,1.09013,0.10988,0.01506,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
28,3133.42,1.12224,0.94081,0.07454,0.0298,0.72326,0.73776,0.74851,0.53744,1.11291,1.04379,0.10772,0.01345,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327
29,3229.9,1.09373,0.98038,0.07774,0.03068,0.71516,0.71792,0.762,0.54257,1.11387,1.02123,0.10687,0.01487,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
30,3326.86,1.12438,0.97793,0.07832,0.03167,0.70965,0.71816,0.71771,0.52025,1.10776,1.0915,0.10316,0.01367,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,3422.72,1.10239,0.9602,0.06975,0.03314,0.7273,0.70932,0.75005,0.54245,1.09138,1.05233,0.10996,0.01174,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,3518.3,1.10811,0.93047,0.07669,0.03327,0.72904,0.70985,0.74386,0.53135,1.15214,1.07205,0.11322,0.0158,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,3614.96,1.11411,0.92034,0.07542,0.02988,0.72869,0.68562,0.73519,0.52273,1.12057,1.12999,0.10856,0.01564,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,3711.02,1.11598,0.89631,0.07334,0.03003,0.73522,0.71248,0.73782,0.52867,1.09327,1.06378,0.104,0.016,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,3807.7,1.09767,0.92329,0.07823,0.0326,0.74194,0.69352,0.74965,0.54243,1.13725,1.0378,0.11272,0.01352,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,3904.36,1.10123,0.94462,0.07457,0.03121,0.75374,0.72045,0.78,0.54649,1.11769,1.04242,0.11094,0.01427,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,4001.72,1.08445,0.87069,0.07706,0.03163,0.74036,0.70725,0.76441,0.55119,1.12259,1.06451,0.11418,0.01413,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,4098.49,1.0759,0.87619,0.07915,0.02808,0.69093,0.72512,0.73993,0.52886,1.12287,1.05633,0.11044,0.01608,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,4195.68,1.07267,0.8708,0.07425,0.02972,0.70799,0.7425,0.7753,0.55159,1.14513,0.94716,0.10751,0.01426,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,4292.67,1.06833,0.89163,0.07515,0.03072,0.75272,0.71173,0.77577,0.55936,1.12308,0.9811,0.11157,0.01359,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,4389.59,1.05435,0.8677,0.07551,0.02862,0.7118,0.72963,0.74777,0.54423,1.14292,1.06428,0.11413,0.01733,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
